Reaction,sample1,sample2,sample3,sample4,sample5
EX_etoh(e),294.344930581483,22.792195952106,26.8079638103342,0.0,0.0
EX_h2o(e),152721.301028904,181671.336776337,188463.626432673,205323.758498341,179031.799672278
EX_caro(e),0.0028945414610468,0.0131316070144016,0.0079162169944973,0.0125448756371623,0.0095180867863251
EX_retinol(e),4.88738760753998,1.0996622116965,0.209459468894571,3.2431307767176,2.07713973320449
EX_thm(e),6.20678895334771,7.23560096565124,2.95830560314387,5.0008554590725,6.76453319444999
EX_adpcbl(e),8.2477526646e-06,2.5671351746e-06,9.30626068241607e-07,4.8766072133e-06,3.554738349e-06
EX_ribflv(e),0.0063156960590534,0.0068949227064551,0.0018731870936612,0.0053990300344958,0.0052741508949184
EX_nac(e),0.455874825452595,0.479928584005929,0.208699319828176,0.315598088475572,0.506422935017178
EX_ncam(e),0.243513591856186,0.216377371962733,0.097461936415759,0.169499019853494,0.245118510111804
EX_pnto_R(e),0.0293318425309425,0.0548511412428343,0.018214977981643,0.0284703542641378,0.04117272381511
EX_pydam(e),0.003973577776333,0.0049940603187924,0.003309673110679,0.0043262155661018,0.0054077694576273
EX_pydxn(e),0.0039741226882802,0.0049947451734211,0.0033101269788352,0.0043268088366204,0.0054085110457755
EX_pydx(e),0.0040220464778677,0.0050549766095165,0.0033500436702121,0.0043789856546344,0.005473732068293
EX_btn(e),0.0002697997186221,0.0004792178631803,0.000202792652938,0.0002534784858532,0.0004936854379338
EX_10fthf(e),0.0001278510994575,0.0002546967333399,0.0001847251324393,0.0002204759034023,0.000251925869611
EX_5mthf(e),0.0001314696828145,0.0002619054422541,0.0001899534276413,0.0002267160565028,0.0002590561544725
EX_thf(e),0.0001359273616736,0.0002707857432332,0.0001963940865102,0.0002344032080228,0.0002678398460307
EX_ascb_L(e),0.745870456302729,1.51385194516555,0.791103278851414,1.11285534976204,1.12239758514632
EX_vitd3(e),1.70550104682e-05,1.53391100248e-05,7.0455912147e-06,1.01628103537e-05,1.46111522609e-05
EX_avite1(e),0.053170828089038,0.0685386160075281,0.0412694410411183,0.0719980515715937,0.0395861586357844
EX_phyQ(e),0.0002764215411862,0.0009363080233514,0.0004100993197849,0.0004250096018222,0.0005128626698679
EX_ca2(e),53.0445631019512,33.0201107839713,18.4818354209292,40.3849992514596,25.4194321073906
EX_cl(e),617.961131639071,231.445011705638,203.548641863876,752.984796773193,482.165402081629
EX_k(e),89.0537184481167,116.447773944136,75.8132706537113,148.862098863633,98.6276896949484
EX_mg2(e),17.1751491462662,31.1553178358363,15.6753754371528,22.6128368648426,25.5766303229788
EX_na1(e),309.750824954777,147.911880218747,106.469968018748,275.698504095644,249.258047360447
EX_pi(e),28.4778176127561,22.3360662142775,10.7128307874719,23.8944230683074,18.0555598967694
EX_cu2(e),0.0329839801088975,0.0473279199320177,0.0373745003619425,0.0392943694331665,0.0386019576369874
EX_fe2(e),0.170006267347121,0.424456083803384,0.108559405497359,0.181851553406751,0.329062583937685
EX_fe3(e),0.170006267347121,0.424456083803384,0.108559405497359,0.181851553406751,0.329062583937685
EX_mn2(e),0.05602674794853,0.174378247351175,0.125687035277648,0.0911936345750927,0.108959101111079
EX_zn2(e),0.335041297032732,0.244799632915265,0.116396451514225,0.19788926277149,0.168629550321199
EX_mnl(e),0.133489376511623,2.6911958931075,0.474277577539444,0.0,0.158092525846481
EX_sbt_D(e),1.561163692734,6.5699521001604,18.1276684975391,0.0,2.05959429505555
EX_xylt(e),0.0,0.276050998450171,0.0753882131481776,0.0,0.0788717138429059
EX_lcts(e),43.0709633314977,26.574680138418,8.53394644701304,30.1528061198406,17.1151326408538
EX_malt(e),15.7465822758924,0.803397054892469,0.262929945237535,0.0,8.35532937088168
EX_sucr(e),223.627761312196,137.117966441375,87.5994934216389,83.962295845853,82.6914677772048
EX_fru(e),92.4313497365337,157.32729263932,204.939777159671,133.584856227301,65.8068650541004
EX_gal(e),0.330269505467209,1.01023613437029,0.979151945620432,1.49870195758229,0.291858329369174
EX_glc_D(e),119.070987960983,120.210995032636,102.138064864931,40.1480051444332,107.352576296419
EX_cellul(e),0.0334512807420479,0.237688252970771,0.0795281660019887,0.158837311545428,0.0966532597329716
EX_ala_L(e),86.3692851979725,59.0612976074493,25.6933750274993,63.3077496374583,83.2478236273924
EX_arg_L(e),46.6414662725467,40.6717067454907,17.8619921704891,36.4726620622583,42.9985862590314
EX_asp_L(e),101.067741552083,80.1605212018348,35.1497448421473,95.5819196379567,96.1482179073044
EX_cys_L(e),16.9723551521895,13.8267983512466,6.74609725136227,10.2784623739871,17.4848668930374
EX_glu_L(e),220.123986030784,130.815459484688,83.4289046155489,166.276887763796,162.21974482844
EX_gly(e),84.4573485411621,60.7824918139359,30.2620606234997,58.1458331668145,75.1787745815049
EX_urate(e),3.84519568402412,6.31918448780354,2.12437905351427,4.23138855858326,4.55186267587411
EX_his_L(e),30.9611896779084,17.2196634840346,7.81807307034403,26.281528230552,25.5396875116819
EX_ile_L(e),61.087762792467,41.9322512500677,18.9956538278867,42.7161021826917,54.397745265981
EX_leu_L(e),101.960298201839,63.3179185639717,31.4067158689028,74.7521782319366,81.9979965373945
EX_lys_L(e),79.1294502889015,46.3467633181721,17.2539581712756,63.2604597287281,62.6295301147114
EX_met_L(e),26.318221207107,12.6699519406372,6.12517282538253,17.2274150818336,23.6294101049988
EX_phe_L(e),44.7696912205466,29.6979340646568,15.5475149389397,33.3874026797168,38.2563680049107
EX_pro_L(e),106.996408423485,50.90466904947,36.971219616001,61.2018101198206,63.8677848180977
EX_ser_L(e),77.4233866133296,52.1149443443211,25.3416986543296,58.3578196752198,69.7123774652069
EX_thr_L(e),56.7826429324576,38.2589456611529,16.5147600051041,42.0470419546135,48.6556743161472
EX_trp_L(e),9.95091203240344,6.19299185409048,3.02310880341897,6.92936033359252,8.22006784667122
EX_tyr_L(e),35.5928991078352,21.2683752004128,10.1519964015376,26.9320900609034,27.9532917376103
EX_val_L(e),80.96521187609,50.9786480665629,25.0179903249185,56.3415575225167,68.6375071171689
EX_dca(e),16.85243847394,0.0434435557849707,1.80629429388748,6.87844621553492,1.15522487587347
EX_ddca(e),20.4617735806267,0.101851489490231,2.10564156905481,7.16582927683436,1.20606212037742
EX_ttdca(e),57.2996793673553,0.78750720213931,5.80197745455505,25.8056499958217,4.25546372980652
EX_ttdcea(e),7.45989187346986,0.0312850708972958,0.715429663838585,1.24108541889379,0.488113669978447
EX_ptdca(e),5.58183534004779,0.0721033549084136,0.621609215972851,0.645719616752337,0.364452321061057
EX_hdca(e),183.109036587748,34.4471433085072,39.5395200224262,100.594872445394,37.6624848629354
EX_hpdca(e),4.16889008312342,0.202603373555862,0.466147347840561,0.66203315213216,0.410384100218711
EX_ocdca(e),71.3769321757241,9.42414222633633,12.4815279820425,38.4392066442468,12.3352158417155
EX_ocdcea(e),219.927835300622,130.212461458984,82.416431991939,135.833711726346,99.5013028799794
EX_lnlc(e),82.6052337284724,66.4728248713934,88.1950346678595,80.883918586446,29.2730932677253
EX_lnlnca(e),7.90853779643049,22.7631796647487,7.65981896873965,7.81121303776886,1.65812551793894
EX_strdnc(e),0.0856917319824056,0.0,0.0,0.11386833538001,0.0813345252714358
EX_arach(e),2.0568755065846,0.667592228490719,1.11155695014004,1.36487733630797,0.672744344308999
EX_CE2510(e),3.91086652110165,1.00671520413458,0.596998577736307,1.41499405828503,0.809271918595597
EX_CE4843(e),0.308903651394985,0.0380336706118266,0.0145045037134456,0.0806203244520891,0.0617254440540803
EX_arachd(e),1.03396868570999,0.359587410354417,0.0017794831524137,0.450934212178321,0.589371410757767
EX_docosac(e),0.876841563410328,0.394315728220756,0.304806941370346,0.644922662287867,0.187248435988923
EX_doco13ac(e),2.21548662355133,0.0498874717568477,0.124955674507354,0.401825217879978,0.276691797036198
EX_adrn(e),0.0,0.0,0.0,0.0371630477439587,0.0265450341028276
EX_clpnd(e),0.746897839792993,0.0501674981380665,0.0,0.380702417812406,0.279517639353656
EX_crvnc(e),1.41810056971366,0.384328461895265,0.0778672793447423,4.12458398260903,3.2314920928068
EX_but(e),44.4032069917288,0.0723329797054326,4.69165484079856,23.3849653031326,2.93212640590053
EX_octa(e),10.2894621988988,0.0155024143962962,1.04082651611169,3.82832821823489,0.64226782166637
EX_chsterol(e),2.76352341308174,1.05303585768653,0.104124235264908,0.452161948618078,1.59535604876201
EX_hdcea(e),21.7898242425127,3.61698466813181,4.08853107119447,6.42203264952725,3.96767486068485
EX_lgnc(e),0.354020142056335,0.166975492670868,0.0902540823787473,0.175924737126145,0.0680985820479788
EX_fol(e),0.0001368606653882,0.0002726450108369,0.0001977425665234,0.0002360126660603,0.0002696788865311
EX_strch1(e),40.1169951473774,45.1139619460203,41.3362219194356,66.8754984216751,27.0864409377219
EX_i(e),0.0026445719366701,0.0036606275570907,0.001071751058099,0.0023240788917837,0.003562207068041
EX_starch1200(e),0.371419202283106,0.417683121486647,0.382707291867495,0.619160138609921,0.250777114507661
